% Model:              polynomial_hyperelastic.mph
% Version:            COMSOL 6.2.0.290
% Date:               Dec 11 2023, 19:15
% Dimension:          1
% Nodes:              11
% Expressions:        1
% Description:        點圖
% 應變張量 , ZZ 分量 (1)        應力張量 , z 分量
0.007873894655901603      93939.38692018033
0.08999615532487493       1016119.5639935742
0.17826989619377176       1913887.0657893505
0.2726951172625911        2794717.601228376
0.37327181853133373       3663842.060807007
0.47999999999999926       4524971.657408401
0.5928796616685881        5380717.899281704
0.7119108035371005        6232945.077905614
0.8370934256055356        7082954.575668353
0.9684275278738941        7931656.949245063
1.1059131103421742        8779670.54976095
